idx,construction_score,non_article_region_score,numeral_noun_score,just_noun_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
1433,-6.2343316078186035,-6.747220039367676,-6.475000858306885,-5.864596843719482,-7.8635969161987305,-7.8635969161987305,-7.74478816986084,-9.275383949279785,-8.800601959228516,-8.800601959228516,-6.458347320556641,-8.070328712463379,-6.997807502746582,-8.122284889221191
1434,-7.732764720916748,-8.916092872619629,-9.592201232910156,-11.488594055175781,-10.28390884399414,-10.28390884399414,-10.124345779418945,-12.958325386047363,-11.621123313903809,-11.621123313903809,-9.357573509216309,-13.22515869140625,-9.01794147491455,-15.307162284851074
1435,-7.898290634155273,-9.136794090270996,-9.923253059387207,-12.150696754455566,-10.785229682922363,-10.785229682922363,-10.297225952148438,-13.18883228302002,-12.124408721923828,-12.124408721923828,-9.601365089416504,-13.59084701538086,-9.494726181030273,-16.737516403198242
1436,-7.017224311828613,-7.962039947509766,-8.161121368408203,-8.626433372497559,-9.514300346374512,-9.514300346374512,-9.434151649475098,-12.038066864013672,-10.830920219421387,-10.830920219421387,-8.764354705810547,-12.335330963134766,-8.371603965759277,-13.368149757385254
1437,-6.676377296447754,-7.507577419281006,-7.479427337646484,-7.263045310974121,-9.659858703613281,-9.659858703613281,-9.272473335266113,-11.822495460510254,-10.409340858459473,-10.409340858459473,-8.110438346862793,-11.354455947875977,-8.239665031433105,-12.972331047058105
1438,-7.632354736328125,-8.78221321105957,-9.39138126373291,-11.086954116821289,-10.745821952819824,-10.745821952819824,-9.899665832519531,-12.65875244140625,-11.64016342163086,-11.64016342163086,-8.78056812286377,-12.359651565551758,-8.764259338378906,-14.546116828918457
1439,-7.227086544036865,-8.24185562133789,-8.58084487915039,-9.46588134765625,-10.202170372009277,-10.202170372009277,-9.572807312011719,-12.222941398620605,-11.19698429107666,-11.19698429107666,-8.577239036560059,-12.054656982421875,-8.186565399169922,-12.813034057617188
1440,-6.00323486328125,-6.458348751068115,-6.089839458465576,-5.2868547439575195,-7.436675071716309,-7.436675071716309,-7.740734100341797,-9.270316123962402,-8.632739067077637,-8.632739067077637,-6.72197151184082,-8.421828269958496,-6.324176788330078,-6.775022983551025
1441,-7.715696811676025,-9.746794700622559,-8.130983352661133,-10.711252212524414,-9.710417747497559,-9.710417747497559,-8.982329368591309,-11.435638427734375,-12.242077827453613,-12.242077827453613,-8.21481704711914,-11.511024475097656,-10.093469619750977,-15.679590225219727
1442,-5.944137096405029,-7.024570465087891,-5.03995418548584,-4.784574508666992,-7.162335395812988,-7.162335395812988,-7.09066915512085,-8.457735061645508,-8.54306411743164,-8.54306411743164,-5.529468059539795,-6.831823348999023,-7.1440863609313965,-6.98776388168335
1443,-6.401014804840088,-7.595667839050293,-5.801416873931885,-5.926769256591797,-7.040306091308594,-7.040306091308594,-7.177892208099365,-8.566764831542969,-8.914302825927734,-8.914302825927734,-5.769862174987793,-7.15234899520874,-7.354026794433594,-7.407644271850586
