idx,construction_score,non_article_region_score,numeral_noun_score,just_noun_score,default_ann_corruption_score,default_ann_region_score,order_swap_corruption_score,order_swap_region_score,no_article_corruption_score,no_article_region_score,no_modifier_corruption_score,no_modifier_region_score,no_numeral_corruption_score,no_numeral_region_score
4035,-7.964083671569824,-9.001983642578125,-11.01943588256836,-12.175140380859375,-8.752272605895996,-8.752272605895996,-8.120512962341309,-9.623576164245605,-9.878453254699707,-9.878453254699707,-8.843283653259277,-12.210790634155273,-8.027099609375,-14.326820373535156
4036,-7.831341743469238,-8.836055755615234,-10.687582015991211,-11.511432647705078,-8.459412574768066,-8.459412574768066,-7.9438605308532715,-9.40276050567627,-9.665984153747559,-9.665984153747559,-8.368123054504395,-11.498050689697266,-7.945414066314697,-14.000076293945312
4037,-7.604597568511963,-8.55262565612793,-10.120721817016602,-10.37771224975586,-8.545268058776855,-8.545268058776855,-7.88037633895874,-9.323405265808105,-9.416322708129883,-9.416322708129883,-8.0737943649292,-11.056557655334473,-7.930357456207275,-13.939849853515625
4038,-7.576307773590088,-8.517263412475586,-10.049997329711914,-10.236263275146484,-8.784388542175293,-8.784388542175293,-8.006865501403809,-9.48151683807373,-9.512001037597656,-9.512001037597656,-8.029515266418457,-10.99013900756836,-7.81162691116333,-13.464927673339844
4039,-7.513916015625,-8.439273834228516,-9.89401626586914,-9.924301147460938,-8.59970760345459,-8.59970760345459,-7.880406856536865,-9.323443412780762,-9.509891510009766,-9.509891510009766,-8.259520530700684,-11.3351469039917,-7.5486531257629395,-12.413032531738281
4040,-6.6721978187561035,-7.244140625,-7.417213439941406,-6.1939544677734375,-7.2088422775268555,-7.2088422775268555,-6.896005630493164,-7.853554725646973,-8.01710319519043,-8.01710319519043,-6.513956069946289,-7.982518672943115,-6.673292636871338,-7.792442321777344
4041,-8.490758895874023,-9.660327911376953,-12.336126327514648,-13.172115325927734,-9.571798324584961,-9.571798324584961,-8.832557678222656,-10.513631820678711,-10.73855209350586,-10.73855209350586,-10.306875228881836,-14.40617847442627,-8.309921264648438,-15.458106994628906
4042,-6.828863620758057,-7.4321393966674805,-7.730546474456787,-5.84575080871582,-7.65854024887085,-7.65854024887085,-7.272813320159912,-8.305723190307617,-8.282580375671387,-8.282580375671387,-7.065481662750244,-8.717885971069336,-6.323177814483643,-6.917154312133789
4043,-6.969560146331787,-7.600975036621094,-8.01193904876709,-6.267839431762695,-7.665167331695557,-7.665167331695557,-7.074409484863281,-8.067639350891113,-8.492321968078613,-8.492321968078613,-7.286111354827881,-9.012059211730957,-6.897515773773193,-8.35300064086914
4044,-8.47450065612793,-9.640005111694336,-12.295478820800781,-13.0908203125,-9.649085998535156,-9.649085998535156,-8.705047607421875,-10.354244232177734,-10.530932426452637,-10.530932426452637,-9.98286247253418,-13.920159339904785,-8.318902969360352,-15.494033813476562
4045,-8.514448165893555,-9.689939498901367,-12.395349502563477,-13.29056167602539,-9.320049285888672,-9.320049285888672,-8.638557434082031,-10.27113151550293,-10.70114803314209,-10.70114803314209,-10.22575855255127,-14.284502983093262,-8.027099609375,-14.326820373535156
4046,-7.972151279449463,-9.012067794799805,-11.039606094360352,-10.57907485961914,-9.063684463500977,-9.063684463500977,-8.410815238952637,-9.986454010009766,-10.074687957763672,-10.074687957763672,-9.018593788146973,-12.473755836486816,-7.945414066314697,-14.000076293945312
4047,-7.820863246917725,-8.822957992553711,-10.661386489868164,-9.822635650634766,-9.094572067260742,-9.094572067260742,-8.335317611694336,-9.892082214355469,-9.840121269226074,-9.840121269226074,-9.155000686645508,-12.678366661071777,-7.930357456207275,-13.939849853515625
4048,-8.00615406036377,-9.054571151733398,-11.124612808227539,-10.749088287353516,-9.397838592529297,-9.397838592529297,-8.45854663848877,-10.046117782592773,-10.108203887939453,-10.108203887939453,-8.985276222229004,-12.423779487609863,-7.81162691116333,-13.464927673339844
4049,-7.9592742919921875,-8.9959716796875,-11.00741195678711,-10.514686584472656,-9.127439498901367,-9.127439498901367,-8.292048454284668,-9.837995529174805,-10.035682678222656,-10.035682678222656,-9.129594802856445,-12.640257835388184,-7.5486531257629395,-12.413032531738281
4050,-6.9838104248046875,-7.618075370788574,-8.04043960571289,-6.310590744018555,-7.765688896179199,-7.765688896179199,-7.328191757202148,-8.372178077697754,-8.444973945617676,-8.444973945617676,-7.440850734710693,-9.218378067016602,-6.673292636871338,-7.792442321777344
4051,-8.465471267700195,-10.584540367126465,-11.342421531677246,-14.765729904174805,-10.294329643249512,-10.294329643249512,-9.529684066772461,-12.003491401672363,-11.72748851776123,-11.72748851776123,-8.51889705657959,-11.724211692810059,-9.603650093078613,-17.63390350341797
4052,-6.087095260620117,-7.081803798675537,-6.419478893280029,-5.669661521911621,-6.9297943115234375,-6.9297943115234375,-6.98529052734375,-8.204547882080078,-8.101685523986816,-8.101685523986816,-5.981997966766357,-7.27324104309082,-5.974020004272461,-6.359516143798828
4053,-6.372681140899658,-7.438786029815674,-6.8954548835754395,-6.3836259841918945,-7.259586334228516,-7.259586334228516,-7.298998832702637,-8.596683502197266,-8.430805206298828,-8.430805206298828,-5.8000640869140625,-7.030662536621094,-6.934961318969727,-8.28139877319336
4054,-7.961223125457764,-9.912210464477539,-10.3339262008667,-12.748739242553711,-9.574650764465332,-9.574650764465332,-8.960966110229492,-11.245201110839844,-11.114212036132812,-11.114212036132812,-7.765615463256836,-10.59428882598877,-9.235814094543457,-16.5303955078125
4055,-7.99469518661499,-9.956839561462402,-10.400870323181152,-12.882627487182617,-9.862747192382812,-9.862747192382812,-9.255805969238281,-11.638320922851562,-11.24735164642334,-11.24735164642334,-7.844642162322998,-10.712828636169434,-9.14636516571045,-16.262046813964844
4056,-7.585081577301025,-9.410688400268555,-9.581643104553223,-11.244173049926758,-9.149348258972168,-9.149348258972168,-8.610260009765625,-10.777592658996582,-10.732665061950684,-10.732665061950684,-7.294126987457275,-9.887056350708008,-8.816502571105957,-15.2724609375
4057,-7.539208889007568,-9.34952449798584,-9.489897727966309,-11.06068229675293,-9.057655334472656,-9.057655334472656,-8.494274139404297,-10.622945785522461,-10.47234058380127,-10.47234058380127,-7.2418131828308105,-9.808585166931152,-8.644129753112793,-14.755340576171875
4058,-7.470032215118408,-9.257288932800293,-9.351544380187988,-10.783975601196289,-9.224268913269043,-9.224268913269043,-8.659378051757812,-10.843083381652832,-10.570145606994629,-10.570145606994629,-7.369466781616211,-10.000065803527832,-8.358675956726074,-13.898979187011719
4059,-7.466511249542236,-9.252594947814941,-9.344502449035645,-10.769891738891602,-8.779170036315918,-8.779170036315918,-8.279228210449219,-10.336217880249023,-10.509438514709473,-10.509438514709473,-7.458312511444092,-10.133334159851074,-8.008827209472656,-12.849433898925781
4060,-6.381601333618164,-7.449936389923096,-6.910322189331055,-6.405926704406738,-7.448040962219238,-7.448040962219238,-7.402273654937744,-8.725776672363281,-8.607074737548828,-8.607074737548828,-5.906655788421631,-7.172784805297852,-7.205291748046875,-8.822059631347656
4061,-8.94840145111084,-11.228447914123535,-12.308282852172852,-15.74240493774414,-10.655754089355469,-10.655754089355469,-9.814740180969238,-12.383566856384277,-12.594409942626953,-12.594409942626953,-9.330199241638184,-12.94116497039795,-9.603650093078613,-17.63390350341797
