idx,preposition,embedding,pipp_filler_gap,pp_no_filler_no_gap,filler_no_gap,no_filler_gap
160,asas,,6.071948051452637,16.024263381958008,9.236188888549805,11.603656768798828
161,asas,,7.646660804748535,14.179848670959473,17.89397430419922,11.177376747131348
162,asas,,1.6543493270874023,8.31787395477295,11.117947578430176,5.045291423797607
163,asas,,0.7324314713478088,12.217782020568848,16.616212844848633,3.1649086475372314
164,asas,,0.7696003317832947,10.279943466186523,8.74428939819336,3.8242061138153076
165,asas,they said that we knew that,10.244915008544922,11.826441764831543,8.703289985656738,10.35255241394043
166,asas,they said that we knew that,6.573075294494629,6.454946041107178,5.542577743530273,6.470037460327148
167,asas,they said that we knew that,7.488013744354248,7.599599838256836,7.017578601837158,6.866845607757568
168,asas,they said that we knew that,0.7006366848945618,13.296886444091797,11.83316421508789,0.9138979315757751
169,asas,they said that we knew that,4.969749450683594,3.286831855773926,2.4670190811157227,4.930530548095703
170,asas,they said that we knew that,10.947956085205078,8.7135648727417,6.422669887542725,10.958545684814453
171,asas,they said that we knew that,12.08305835723877,8.538371086120605,6.672629356384277,11.060705184936523
172,asas,they said that we knew that,14.344342231750488,11.764005661010742,10.282636642456055,13.518182754516602
173,asas,they said that we knew that,12.692997932434082,10.911678314208984,8.512948036193848,11.479284286499023
174,asas,they said that we knew that,13.256762504577637,11.509114265441895,7.38734769821167,12.130837440490723
175,asas,they said that we knew that,9.026335716247559,8.763287544250488,5.468531131744385,9.730610847473145
176,asas,they said that we knew that,1.9308451414108276,8.89486312866211,6.940138339996338,2.092437267303467
177,asas,they said that we knew that,0.6487157940864563,7.696890354156494,6.151955604553223,0.6098147034645081
178,asas,they said that we knew that,0.3324452042579651,7.02871561050415,4.867498397827148,0.3963223099708557
179,asas,they said that we knew that,1.5080910921096802,13.425373077392578,10.63940143585205,1.3026171922683716
180,asas,they said that we knew that,5.05291223526001,18.325477600097656,14.983380317687988,6.714324951171875
181,asas,they said that we knew that,5.390424728393555,13.339365005493164,8.835200309753418,7.363924026489258
182,asas,they said that we knew that,5.674593925476074,14.832213401794434,11.304749488830566,9.074458122253418
183,asas,they said that we knew that,12.809488296508789,9.420083045959473,7.797826290130615,12.559264183044434
184,asas,they said that we knew that,7.544355869293213,11.511419296264648,13.3624849319458,7.893620491027832
185,asas,they said that we knew that,9.137146949768066,26.759279251098633,24.049467086791992,10.214953422546387
186,asas,they said that we knew that,5.773612976074219,13.971550941467285,10.246382713317871,7.68079137802124
187,asas,they said that we knew that,3.9973528385162354,15.005912780761719,9.744227409362793,6.30644416809082
188,asas,they said that we knew that,13.95806884765625,9.08565616607666,7.820240497589111,13.130208015441895
189,asas,they said that we knew that,4.9430251121521,9.438579559326172,7.152530193328857,8.285330772399902
190,asas,they said that we knew that,10.770814895629883,4.323729515075684,2.967266082763672,9.685933113098145
191,asas,they said that we knew that,10.786169052124023,15.957260131835938,12.055606842041016,9.413130760192871
192,asas,they said that we knew that,10.827670097351074,12.652592658996582,10.328691482543945,9.902060508728027
193,asas,they said that we knew that,11.737265586853027,14.98978328704834,6.844283580780029,12.375734329223633
194,asas,they said that we knew that,13.568949699401855,13.596237182617188,11.74372673034668,12.42702865600586
195,asas,they said that we knew that,8.02067756652832,5.505451202392578,3.9623680114746094,10.04123592376709
196,asas,they said that we knew that,6.499674320220947,11.249918937683105,8.01175308227539,6.824429988861084
197,asas,they said that we knew that,7.706697940826416,9.246057510375977,6.304783344268799,10.565567016601562
